"hgnc_symbol","ensembl_gene_id"
"ALDOAP2","ENSG00000214297"
"ANKRD20A19P","ENSG00000196593"
"ANKRD20A9P","ENSG00000206192"
"ANKRD20A9P","ENSG00000282715"
"ANKRD26P1","ENSG00000261239"
"ANKRD30BP2","ENSG00000224309"
"ANXA2P3","ENSG00000216740"
"AQP7P1","ENSG00000186466"
"ARAFP2","ENSG00000224368"
"ARGFXP2","ENSG00000265293"
"ARHGAP5-AS1","ENSG00000258655"
"ASMTL-AS1","ENSG00000292331"
"ASMTL-AS1","ENSG00000236017"
"BACH1-IT2","ENSG00000228817"
"BMS1P20","ENSG00000272779"
"BRD7P3","ENSG00000169075"
"BTF3P11","ENSG00000118903"
"CALML3-AS1","ENSG00000205488"
"CASC6","ENSG00000224944"
"CDRT15P1","ENSG00000141028"
"CDRT15P2","ENSG00000227255"
"CLIP1-AS1","ENSG00000257097"
"CTSLP8","ENSG00000234575"
"CXCR2P1","ENSG00000229754"
"DLG5-AS1","ENSG00000282770"
"DLG5-AS1","ENSG00000233871"
"DNAH17-AS1","ENSG00000267432"
"DNAJA1P5","ENSG00000162699"
"DPY19L1P1","ENSG00000229358"
"EGFEM1P","ENSG00000206120"
"ENOX1-AS2","ENSG00000238189"
"ERVK13-1","ENSG00000260565"
"FAAHP1","ENSG00000232022"
"FAM182B","ENSG00000175170"
"FAM224A","ENSG00000233522"
"FAM74A1","ENSG00000215112"
"GAS5-AS1","ENSG00000270084"
"GDNF-AS1","ENSG00000248587"
"GGNBP1","ENSG00000204188"
"GLUD1P3","ENSG00000250959"
"GOLGA2P6","ENSG00000241621"
"GRIK1-AS1","ENSG00000174680"
"HERC2P7","ENSG00000281828"
"HERC2P7","ENSG00000281909"
"HMGB3P1","ENSG00000225336"
"HSP90AA2P","ENSG00000224411"
"IFNA22P","ENSG00000224416"
"IPO5P1","ENSG00000269837"
"KLF3-AS1","ENSG00000231160"
"LAMB2P1","ENSG00000270441"
"LIMD1-AS1","ENSG00000230530"
"LINC00029","ENSG00000125514"
"LINC00313","ENSG00000185186"
"LINC00314","ENSG00000178457"
"LINC00353","ENSG00000236176"
"LINC00377","ENSG00000229246"
"LINC00398","ENSG00000237879"
"LINC00400","ENSG00000229928"
"LINC00421","ENSG00000236834"
"LINC00423","ENSG00000226968"
"LINC00446","ENSG00000229249"
"LINC00456","ENSG00000233124"
"LINC00470","ENSG00000132204"
"LINC00475","ENSG00000225511"
"LINC00518","ENSG00000183674"
"LINC00524","ENSG00000259023"
"LINC00544","ENSG00000122043"
"LINC00608","ENSG00000236445"
"LINC00630","ENSG00000223546"
"LINC00685","ENSG00000292342"
"LINC00685","ENSG00000226179"
"LINC00685","ENSG00000280741"
"LINC00701","ENSG00000234556"
"LINC00824","ENSG00000254275"
"LINC00824","ENSG00000282114"
"LINC00844","ENSG00000237949"
"LINC00882","ENSG00000242759"
"LINC00900","ENSG00000246100"
"LINC00963","ENSG00000204054"
"LINC00992","ENSG00000248663"
"LINC01001","ENSG00000230724"
"LINC01023","ENSG00000272523"
"LINC01039","ENSG00000234168"
"LINC01055","ENSG00000235366"
"LINC01060","ENSG00000281580"
"LINC01060","ENSG00000249378"
"LINC01075","ENSG00000230142"
"LINC01094","ENSG00000251442"
"LINC01096","ENSG00000246095"
"LINC01127","ENSG00000281162"
"LINC01141","ENSG00000236963"
"LINC01165","ENSG00000229081"
"LINC01186","ENSG00000236751"
"LINC01208","ENSG00000223715"
"LINC01220","ENSG00000259687"
"LINC01226","ENSG00000284543"
"LINC01301","ENSG00000251396"
"LINC01309","ENSG00000234551"
"LINC01423","ENSG00000231231"
"LINC01473","ENSG00000237877"
"LINC01491","ENSG00000259572"
"LINC01507","ENSG00000230945"
"LINC01515","ENSG00000228065"
"LINC01544","ENSG00000260440"
"LINC01556","ENSG00000237634"
"LINC01556","ENSG00000204709"
"LINC01556","ENSG00000237313"
"LINC01556","ENSG00000231041"
"LINC01556","ENSG00000233566"
"LINC01556","ENSG00000206526"
"LRRC37A4P","ENSG00000282331"
"LRRC37A4P","ENSG00000214425"
"LY6G6E","ENSG00000255552"
"LY6G6E","ENSG00000224708"
"LY6G6E","ENSG00000237482"
"LY6G6E","ENSG00000226187"
"LY6G6E","ENSG00000236210"
"LY6G6E","ENSG00000235769"
"LY6G6E","ENSG00000206401"
"MAPT-AS1","ENSG00000281578"
"MAPT-AS1","ENSG00000282067"
"MAPT-AS1","ENSG00000264589"
"MEG8","ENSG00000225746"
"MEIS1-AS3","ENSG00000226819"
"MIR503HG","ENSG00000223749"
"MT1DP","ENSG00000205361"
"MT1L","ENSG00000260549"
"NBAT1","ENSG00000260455"
"NBEAP1","ENSG00000258590"
"NDUFAF4P1","ENSG00000259467"
"NNT-AS1","ENSG00000248092"
"OFCC1","ENSG00000181355"
"OR2A9P","ENSG00000228960"
"OR7E5P","ENSG00000214880"
"PIP5K1P1","ENSG00000219294"
"POM121L8P","ENSG00000229266"
"PPP4R1L","ENSG00000124224"
"PRKXP1","ENSG00000259205"
"PRSS3P2","ENSG00000282667"
"RASGRF2-AS1","ENSG00000251450"
"RPL23AP32","ENSG00000237887"
"RPL36AP33","ENSG00000235619"
"RPS16P5","ENSG00000217527"
"RPS6KA2-AS1","ENSG00000231654"
"RTCA-AS1","ENSG00000224616"
"S100A7L2","ENSG00000197364"
"SCGB1B2P","ENSG00000268751"
"SLC14A2-AS1","ENSG00000285384"
"SLC14A2-AS1","ENSG00000267097"
"SNHG6","ENSG00000245910"
"SNORA71B","ENSG00000235408"
"SNORD114-4","ENSG00000200832"
"SNORD29","ENSG00000310757"
"SNORD31","ENSG00000310756"
"SNORD3B-1","ENSG00000265185"
"SNORD59B","ENSG00000310763"
"SNORD68","ENSG00000200084"
"SNORD74","ENSG00000310749"
"SNORD91B","ENSG00000275084"
"SPAG5-AS1","ENSG00000227543"
"TFAP2A-AS1","ENSG00000229950"
