Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name
ENSG00000116652,ENSG00000116652.7,ENST00000371086,ENST00000371086.3,DLEU2L
ENSG00000116652,ENSG00000116652.7,ENST00000771855,ENST00000771855.1,DLEU2L
ENSG00000118903,ENSG00000118903.6,ENST00000426582,ENST00000426582.2,BTF3P11
ENSG00000122043,ENSG00000122043.13,ENST00000400540,ENST00000400540.5,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000662443,ENST00000662443.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000481738,ENST00000481738.2,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000658535,ENST00000658535.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000656266,ENST00000656266.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000692335,ENST00000692335.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777689,ENST00000777689.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777690,ENST00000777690.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777691,ENST00000777691.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777692,ENST00000777692.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777693,ENST00000777693.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777694,ENST00000777694.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777695,ENST00000777695.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777696,ENST00000777696.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777697,ENST00000777697.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777698,ENST00000777698.1,LINC00544
ENSG00000122043,ENSG00000122043.13,ENST00000777699,ENST00000777699.1,LINC00544
ENSG00000123870,ENSG00000123870.12,ENST00000456718,ENST00000456718.2,ZNF137P
ENSG00000124224,ENSG00000124224.20,ENST00000334187,ENST00000334187.12,PPP4R1L
ENSG00000125514,ENSG00000125514.10,ENST00000414668,ENST00000414668.5,LINC00029
ENSG00000125514,ENSG00000125514.10,ENST00000370341,ENST00000370341.3,LINC00029
